, Status Error Seconds GFLOPS M N PadA NB IB Hous. mode Ortho.
,---,---,5.0799,31.8487,20000,2000,0,256,64,f,---
,---,---,10.9653,60.8679,20000,4000,0,256,64,f,---
,---,---,17.9116,86.4754,20000,6000,0,256,64,f,---
,---,---,25.7837,110.0781,20000,8000,0,256,64,f,---
,---,---,38.5755,118.4003,20000,10000,0,256,64,f,---
,---,---,51.7235,130.8561,20000,12000,0,256,64,f,---
,---,---,73.5531,128.7932,20000,14000,0,256,64,f,---
,---,---,97.0063,131.0613,20000,16000,0,256,64,f,---
,---,---,129.9624,127.1309,20000,18000,0,256,64,f,---
,---,---,169.3172,123.6173,20000,20000,0,256,64,f,---

